,Date,Rate
0,3-Jan-00,8.2798
1,4-Jan-00,8.2799
2,5-Jan-00,8.2798
3,6-Jan-00,8.2797
4,7-Jan-00,8.2794
5,10-Jan-00,8.2794
6,11-Jan-00,8.2795
7,12-Jan-00,8.2796
8,13-Jan-00,8.2798
9,14-Jan-00,8.2797
10,17-Jan-00,ND
11,18-Jan-00,8.2793
12,19-Jan-00,8.2797
13,20-Jan-00,8.2794
14,21-Jan-00,8.2795
15,24-Jan-00,8.2789
16,25-Jan-00,8.2786
17,26-Jan-00,8.2782
18,27-Jan-00,8.2783
19,28-Jan-00,8.2781
20,31-Jan-00,8.2777
21,1-Feb-00,8.2774
22,2-Feb-00,8.2773
23,3-Feb-00,8.2781
24,4-Feb-00,8.2788
25,7-Feb-00,8.2788
26,8-Feb-00,8.2788
27,9-Feb-00,8.2788
28,10-Feb-00,8.2788
29,11-Feb-00,8.2788
30,14-Feb-00,8.2779
31,15-Feb-00,8.2777
32,16-Feb-00,8.2777
33,17-Feb-00,8.2772
34,18-Feb-00,8.2772
35,21-Feb-00,ND
36,22-Feb-00,8.2773
37,23-Feb-00,8.2780
38,24-Feb-00,8.2780
39,25-Feb-00,8.2786
40,28-Feb-00,8.2786
41,29-Feb-00,8.2786
42,1-Mar-00,8.2786
43,2-Mar-00,8.2787
44,3-Mar-00,8.2789
45,6-Mar-00,8.2785
46,7-Mar-00,8.2784
47,8-Mar-00,8.2786
48,9-Mar-00,8.2787
49,10-Mar-00,8.2785
50,13-Mar-00,8.2781
51,14-Mar-00,8.2780
52,15-Mar-00,8.2778
53,16-Mar-00,8.2777
54,17-Mar-00,8.2785
55,20-Mar-00,8.2786
56,21-Mar-00,8.2783
57,22-Mar-00,8.2783
58,23-Mar-00,8.2787
59,24-Mar-00,8.2789
60,27-Mar-00,8.2792
61,28-Mar-00,8.2795
62,29-Mar-00,8.2789
63,30-Mar-00,8.2788
64,31-Mar-00,8.2787
65,3-Apr-00,8.2786
66,4-Apr-00,8.2791
67,5-Apr-00,8.2795
68,6-Apr-00,8.2795
69,7-Apr-00,8.2795
70,10-Apr-00,8.2798
71,11-Apr-00,8.2791
72,12-Apr-00,8.2796
73,13-Apr-00,8.2794
74,14-Apr-00,8.2794
75,17-Apr-00,8.2794
76,18-Apr-00,8.2790
77,19-Apr-00,8.2793
78,20-Apr-00,8.2791
79,21-Apr-00,8.2785
80,24-Apr-00,8.2786
81,25-Apr-00,8.2791
82,26-Apr-00,8.2795
83,27-Apr-00,8.2798
84,28-Apr-00,8.2799
85,1-May-00,8.2799
86,2-May-00,8.2799
87,3-May-00,8.2799
88,4-May-00,8.2799
89,5-May-00,8.2799
90,8-May-00,8.2798
91,9-May-00,8.2790
92,10-May-00,8.2785
93,11-May-00,8.2782
94,12-May-00,8.2778
95,15-May-00,8.2777
96,16-May-00,8.2772
97,17-May-00,8.2768
98,18-May-00,8.2773
99,19-May-00,8.2768
100,22-May-00,8.2770
101,23-May-00,8.2768
102,24-May-00,8.2769
103,25-May-00,8.2773
104,26-May-00,8.2771
105,29-May-00,ND
106,30-May-00,8.2772
107,31-May-00,8.2773
108,1-Jun-00,8.2771
109,2-Jun-00,8.2771
110,5-Jun-00,8.2770
111,6-Jun-00,8.2773
112,7-Jun-00,8.2773
113,8-Jun-00,8.2775
114,9-Jun-00,8.2772
115,12-Jun-00,8.2771
116,13-Jun-00,8.2770
117,14-Jun-00,8.2768
118,15-Jun-00,8.2768
119,16-Jun-00,8.2768
120,19-Jun-00,8.2768
121,20-Jun-00,8.2772
122,21-Jun-00,8.2772
123,22-Jun-00,8.2771
124,23-Jun-00,8.2769
125,26-Jun-00,8.2773
126,27-Jun-00,8.2774
127,28-Jun-00,8.2775
128,29-Jun-00,8.2780
129,30-Jun-00,8.2782
130,3-Jul-00,8.2786
131,4-Jul-00,ND
132,5-Jul-00,8.2787
133,6-Jul-00,8.2791
134,7-Jul-00,8.2793
135,10-Jul-00,8.2795
136,11-Jul-00,8.2794
137,12-Jul-00,8.2795
138,13-Jul-00,8.2791
139,14-Jul-00,8.2796
140,17-Jul-00,8.2791
141,18-Jul-00,8.2796
142,19-Jul-00,8.2796
143,20-Jul-00,8.2796
144,21-Jul-00,8.2795
145,24-Jul-00,8.2798
146,25-Jul-00,8.2797
147,26-Jul-00,8.2796
148,27-Jul-00,8.2793
149,28-Jul-00,8.2794
150,31-Jul-00,8.2792
151,1-Aug-00,8.2788
152,2-Aug-00,8.2791
153,3-Aug-00,8.2796
154,4-Aug-00,8.2798
155,7-Aug-00,8.2799
156,8-Aug-00,8.2799
157,9-Aug-00,8.2798
158,10-Aug-00,8.2799
159,11-Aug-00,8.2796
160,14-Aug-00,8.2795
161,15-Aug-00,8.2788
162,16-Aug-00,8.2797
163,17-Aug-00,8.2799
164,18-Aug-00,8.2797
165,21-Aug-00,8.2799
166,22-Aug-00,8.2799
167,23-Aug-00,8.2793
168,24-Aug-00,8.2799
169,25-Aug-00,8.2799
170,28-Aug-00,8.2799
171,29-Aug-00,8.2799
172,30-Aug-00,8.2788
173,31-Aug-00,8.2786
174,1-Sep-00,8.2787
175,4-Sep-00,ND
176,5-Sep-00,8.2790
177,6-Sep-00,8.2794
178,7-Sep-00,8.2790
179,8-Sep-00,8.2794
180,11-Sep-00,8.2786
181,12-Sep-00,8.2787
182,13-Sep-00,8.2770
183,14-Sep-00,8.2773
184,15-Sep-00,8.2771
185,18-Sep-00,8.2772
186,19-Sep-00,8.2779
187,20-Sep-00,8.2775
188,21-Sep-00,8.2778
189,22-Sep-00,8.2787
190,25-Sep-00,8.2793
191,26-Sep-00,8.2791
192,27-Sep-00,8.2795
193,28-Sep-00,8.2799
194,29-Sep-00,8.2798
195,2-Oct-00,8.2790
196,3-Oct-00,8.2790
197,4-Oct-00,8.2790
198,5-Oct-00,8.2790
199,6-Oct-00,8.2790
200,9-Oct-00,ND
201,10-Oct-00,8.2789
202,11-Oct-00,8.2786
203,12-Oct-00,8.2786
204,13-Oct-00,8.2784
205,16-Oct-00,8.2781
206,17-Oct-00,8.2784
207,18-Oct-00,8.2781
208,19-Oct-00,8.2780
209,20-Oct-00,8.2778
210,23-Oct-00,8.2784
211,24-Oct-00,8.2784
212,25-Oct-00,8.2782
213,26-Oct-00,8.2785
214,27-Oct-00,8.2788
215,30-Oct-00,8.2780
216,31-Oct-00,8.2775
217,1-Nov-00,8.2773
218,2-Nov-00,8.2770
219,3-Nov-00,8.2768
220,6-Nov-00,8.2771
221,7-Nov-00,8.2769
222,8-Nov-00,8.2772
223,9-Nov-00,8.2768
224,10-Nov-00,8.2772
225,13-Nov-00,8.2768
226,14-Nov-00,8.2773
227,15-Nov-00,8.2768
228,16-Nov-00,8.2773
229,17-Nov-00,8.2769
230,20-Nov-00,8.2779
231,21-Nov-00,8.2786
232,22-Nov-00,8.2782
233,23-Nov-00,ND
234,24-Nov-00,8.2779
235,27-Nov-00,8.2780
236,28-Nov-00,8.2777
237,29-Nov-00,8.2774
238,30-Nov-00,8.2777
