,Date,Rate
0,3-Jan-00,1.0155
1,4-Jan-00,1.0309
2,5-Jan-00,1.0335
3,6-Jan-00,1.0324
4,7-Jan-00,1.0294
5,10-Jan-00,1.0252
6,11-Jan-00,1.0322
7,12-Jan-00,1.0281
8,13-Jan-00,1.0270
9,14-Jan-00,1.0128
10,17-Jan-00,ND
11,18-Jan-00,1.0121
12,19-Jan-00,1.0115
13,20-Jan-00,1.0133
14,21-Jan-00,1.0100
15,24-Jan-00,1.0019
16,25-Jan-00,1.0041
17,26-Jan-00,1.0011
18,27-Jan-00,0.9890
19,28-Jan-00,0.9765
20,31-Jan-00,0.9757
21,1-Feb-00,0.9731
22,2-Feb-00,0.9768
23,3-Feb-00,0.9887
24,4-Feb-00,0.9760
25,7-Feb-00,0.9783
26,8-Feb-00,0.9862
27,9-Feb-00,0.9914
28,10-Feb-00,0.9865
29,11-Feb-00,0.9847
30,14-Feb-00,0.9783
31,15-Feb-00,0.9834
32,16-Feb-00,0.9842
33,17-Feb-00,0.9863
34,18-Feb-00,0.9850
35,21-Feb-00,ND
36,22-Feb-00,1.0060
37,23-Feb-00,1.0017
38,24-Feb-00,0.9931
39,25-Feb-00,0.9763
40,28-Feb-00,0.9669
41,29-Feb-00,0.9643
42,1-Mar-00,0.9700
43,2-Mar-00,0.9619
44,3-Mar-00,0.9618
45,6-Mar-00,0.9603
46,7-Mar-00,0.9560
47,8-Mar-00,0.9576
48,9-Mar-00,0.9684
49,10-Mar-00,0.9659
50,13-Mar-00,0.9648
51,14-Mar-00,0.9644
52,15-Mar-00,0.9696
53,16-Mar-00,0.9710
54,17-Mar-00,0.9694
55,20-Mar-00,0.9710
56,21-Mar-00,0.9703
57,22-Mar-00,0.9608
58,23-Mar-00,0.9691
59,24-Mar-00,0.9724
60,27-Mar-00,0.9645
61,28-Mar-00,0.9614
62,29-Mar-00,0.9524
63,30-Mar-00,0.9594
64,31-Mar-00,0.9574
65,3-Apr-00,0.9560
66,4-Apr-00,0.9588
67,5-Apr-00,0.9647
68,6-Apr-00,0.9580
69,7-Apr-00,0.9590
70,10-Apr-00,0.9588
71,11-Apr-00,0.9591
72,12-Apr-00,0.9551
73,13-Apr-00,0.9524
74,14-Apr-00,0.9564
75,17-Apr-00,0.9550
76,18-Apr-00,0.9477
77,19-Apr-00,0.9369
78,20-Apr-00,0.9376
79,21-Apr-00,0.9379
80,24-Apr-00,0.9396
81,25-Apr-00,0.9265
82,26-Apr-00,0.9217
83,27-Apr-00,0.9083
84,28-Apr-00,0.9089
85,1-May-00,0.9120
86,2-May-00,0.9068
87,3-May-00,0.8891
88,4-May-00,0.8907
89,5-May-00,0.8953
90,8-May-00,0.8950
91,9-May-00,0.9023
92,10-May-00,0.9097
93,11-May-00,0.9021
94,12-May-00,0.9080
95,15-May-00,0.9138
