Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,5.129630,5.018518,5.037037,1.137724,62400
1980-03-18,0.000000,5.111111,5.037037,5.074074,1.146090,63900
1980-03-19,0.000000,5.166667,5.111111,5.148148,1.162821,40500
1980-03-20,0.000000,5.148148,5.092593,5.111111,1.154456,18900
1980-03-21,0.000000,5.222222,5.111111,5.222222,1.179552,97200
1980-03-24,0.000000,5.185185,5.092593,5.092593,1.150272,90300
1980-03-25,0.000000,5.111111,5.055555,5.074074,1.146090,72000
1980-03-26,0.000000,5.148148,5.037037,5.111111,1.154456,31500
1980-03-27,0.000000,5.092593,4.925926,5.074074,1.146090,62100
1980-03-28,0.000000,5.074074,4.925926,5.018518,1.133541,84000
1980-03-31,0.000000,5.185185,5.074074,5.166667,1.167004,55200
1980-04-01,0.000000,5.259259,5.074074,5.111111,1.154456,126000
1980-04-02,0.000000,5.296296,5.148148,5.296296,1.196283,58500
1980-04-03,0.000000,5.555555,5.407407,5.500000,1.242294,310800
1980-04-07,0.000000,5.629630,5.481482,5.537037,1.250660,115200
1980-04-08,0.000000,5.500000,5.444445,5.444445,1.229746,217800
1980-04-09,0.000000,5.407407,5.259259,5.370370,1.213014,181200
1980-04-10,0.000000,5.518518,5.370370,5.481482,1.238112,191700
1980-04-11,0.000000,5.592593,5.462963,5.481482,1.238112,111900
1980-04-14,0.000000,5.481482,5.425926,5.462963,1.233928,18900
1980-04-15,0.000000,5.425926,5.333333,5.333333,1.204650,63300
1980-04-16,0.000000,5.425926,5.370370,5.425926,1.225564,30000
1980-04-17,0.000000,5.388889,5.314815,5.333333,1.204650,43500
1980-04-18,0.000000,5.388889,5.296296,5.296296,1.196283,27300
1980-04-21,0.000000,5.277778,5.111111,5.166667,1.167004,83700
1980-04-22,0.000000,5.333333,5.111111,5.333333,1.204650,122700
1980-04-23,0.000000,5.333333,5.203704,5.333333,1.204650,132300
1980-04-24,0.000000,5.333333,5.222222,5.296296,1.196283,209100
1980-04-25,0.000000,5.277778,5.203704,5.222222,1.179552,21600
1980-04-28,0.000000,5.370370,5.277778,5.333333,1.204650,141600
1980-04-29,0.000000,5.370370,5.314815,5.351852,1.208832,45000
1980-04-30,0.000000,5.425926,5.296296,5.407407,1.221380,84900
1980-05-01,0.000000,5.537037,5.425926,5.500000,1.242294,48600
1980-05-02,0.000000,5.592593,5.462963,5.555555,1.254842,49800
1980-05-05,0.000000,5.851852,5.629630,5.851852,1.321768,621300
1980-05-06,0.000000,5.962963,5.759259,5.759259,1.300853,143400
1980-05-07,0.000000,5.925926,5.759259,5.851852,1.321768,483600
1980-05-08,0.000000,5.907407,5.796296,5.833333,1.317585,36300
1980-05-09,0.000000,5.796296,5.722222,5.796296,1.309220,24600
1980-05-12,0.000000,5.796296,5.648148,5.777778,1.305036,27000
1980-05-13,0.000000,5.833333,5.722222,5.759259,1.300853,40500
1980-05-14,0.000000,5.851852,5.777778,5.777778,1.305036,61200
1980-05-15,0.000000,5.814815,5.722222,5.759259,1.300853,36900
1980-05-16,0.000000,5.759259,5.703704,5.740741,1.296671,11100
1980-05-19,0.000000,5.925926,5.740741,5.870370,1.325951,51300
1980-05-20,0.000000,5.870370,5.759259,5.759259,1.300853,85500
1980-05-21,0.000000,5.777778,5.685185,5.722222,1.292488,40500
1980-05-22,0.000000,5.814815,5.666667,5.777778,1.305036,143400
1980-05-23,0.000000,5.888889,5.796296,5.851852,1.321768,113400
