,Date,Rate
0,3-Jan-00,101.7000
1,4-Jan-00,103.0900
2,5-Jan-00,103.7700
3,6-Jan-00,105.1900
4,7-Jan-00,105.1700
5,10-Jan-00,105.2800
6,11-Jan-00,106.0900
7,12-Jan-00,105.7600
8,13-Jan-00,106.0900
9,14-Jan-00,105.8600
10,17-Jan-00,ND
11,18-Jan-00,105.4900
12,19-Jan-00,105.3900
13,20-Jan-00,105.4500
14,21-Jan-00,104.9600
15,24-Jan-00,105.5200
16,25-Jan-00,105.8700
17,26-Jan-00,105.8500
18,27-Jan-00,104.9100
19,28-Jan-00,107.1500
20,31-Jan-00,107.3300
21,1-Feb-00,107.6700
22,2-Feb-00,108.4000
23,3-Feb-00,107.9200
24,4-Feb-00,107.5400
25,7-Feb-00,108.7500
26,8-Feb-00,109.5900
27,9-Feb-00,109.1100
28,10-Feb-00,108.7400
29,11-Feb-00,108.9900
30,14-Feb-00,108.6500
31,15-Feb-00,108.7500
32,16-Feb-00,109.3800
33,17-Feb-00,110.2700
34,18-Feb-00,110.8800
35,21-Feb-00,ND
36,22-Feb-00,111.0400
37,23-Feb-00,111.1100
38,24-Feb-00,110.9500
39,25-Feb-00,110.9800
40,28-Feb-00,109.1700
41,29-Feb-00,109.8800
42,1-Mar-00,107.1000
43,2-Mar-00,107.3700
44,3-Mar-00,107.8000
45,6-Mar-00,107.7400
46,7-Mar-00,106.2000
47,8-Mar-00,106.8900
48,9-Mar-00,106.4500
49,10-Mar-00,106.2700
50,13-Mar-00,105.3200
51,14-Mar-00,104.8500
52,15-Mar-00,105.5800
53,16-Mar-00,105.6300
54,17-Mar-00,106.1000
55,20-Mar-00,106.5000
56,21-Mar-00,106.9100
57,22-Mar-00,106.7700
58,23-Mar-00,107.4500
59,24-Mar-00,107.2500
60,27-Mar-00,107.1300
61,28-Mar-00,105.9000
62,29-Mar-00,105.6000
63,30-Mar-00,105.5300
64,31-Mar-00,102.7300
65,3-Apr-00,104.8200
66,4-Apr-00,105.3300
67,5-Apr-00,105.0000
68,6-Apr-00,104.7800
69,7-Apr-00,105.3300
70,10-Apr-00,106.3700
71,11-Apr-00,106.9500
72,12-Apr-00,105.8600
73,13-Apr-00,105.7600
74,14-Apr-00,105.1200
75,17-Apr-00,104.1900
76,18-Apr-00,104.5900
77,19-Apr-00,104.9400
78,20-Apr-00,105.4500
79,21-Apr-00,105.8800
80,24-Apr-00,105.6600
81,25-Apr-00,105.7100
82,26-Apr-00,106.4600
83,27-Apr-00,106.3600
84,28-Apr-00,107.9800
85,1-May-00,108.8900
86,2-May-00,108.6300
87,3-May-00,109.1400
88,4-May-00,108.1700
89,5-May-00,108.5300
90,8-May-00,109.0300
91,9-May-00,109.6100
92,10-May-00,109.3300
93,11-May-00,108.4700
94,12-May-00,108.7400
95,15-May-00,109.4800
96,16-May-00,109.7500
97,17-May-00,109.5300
98,18-May-00,108.7000
99,19-May-00,106.8900
100,22-May-00,107.0200
101,23-May-00,106.7200
102,24-May-00,107.5800
103,25-May-00,107.4800
104,26-May-00,107.1800
105,29-May-00,ND
106,30-May-00,106.4400
107,31-May-00,107.7400
108,1-Jun-00,108.7400
109,2-Jun-00,108.1500
110,5-Jun-00,107.4400
111,6-Jun-00,105.6400
112,7-Jun-00,105.5000
113,8-Jun-00,105.8600
114,9-Jun-00,106.7800
115,12-Jun-00,106.6500
116,13-Jun-00,106.7900
117,14-Jun-00,106.8900
118,15-Jun-00,106.5200
119,16-Jun-00,106.2200
120,19-Jun-00,105.7400
121,20-Jun-00,105.4200
122,21-Jun-00,105.5000
123,22-Jun-00,104.4000
124,23-Jun-00,104.5900
125,26-Jun-00,105.6600
126,27-Jun-00,105.5300
127,28-Jun-00,105.5100
128,29-Jun-00,105.0900
129,30-Jun-00,106.1400
130,3-Jul-00,105.6400
131,4-Jul-00,ND
132,5-Jul-00,106.9100
133,6-Jul-00,107.3700
134,7-Jul-00,107.8100
135,10-Jul-00,107.1000
136,11-Jul-00,106.9300
137,12-Jul-00,108.3600
138,13-Jul-00,108.2700
139,14-Jul-00,107.8800
140,17-Jul-00,108.5300
141,18-Jul-00,108.3000
142,19-Jul-00,108.2000
143,20-Jul-00,107.8900
144,21-Jul-00,109.0800
145,24-Jul-00,108.9200
146,25-Jul-00,109.3000
147,26-Jul-00,109.2800
148,27-Jul-00,109.1500
149,28-Jul-00,109.6300
150,31-Jul-00,109.6800
151,1-Aug-00,109.4700
152,2-Aug-00,108.7700
153,3-Aug-00,108.3600
154,4-Aug-00,108.5400
155,7-Aug-00,108.9900
156,8-Aug-00,108.6400
157,9-Aug-00,107.9900
158,10-Aug-00,108.7000
159,11-Aug-00,108.6800
160,14-Aug-00,109.5200
161,15-Aug-00,109.0000
162,16-Aug-00,108.5500
163,17-Aug-00,108.4800
164,18-Aug-00,108.4300
165,21-Aug-00,108.5300
166,22-Aug-00,108.3400
167,23-Aug-00,107.0200
168,24-Aug-00,106.8900
169,25-Aug-00,107.1700
170,28-Aug-00,106.4500
171,29-Aug-00,106.2000
172,30-Aug-00,106.4700
173,31-Aug-00,106.6600
174,1-Sep-00,105.7800
175,4-Sep-00,ND
176,5-Sep-00,105.8800
177,6-Sep-00,106.0800
178,7-Sep-00,105.1000
179,8-Sep-00,106.0300
180,11-Sep-00,105.9700
181,12-Sep-00,106.9300
182,13-Sep-00,107.1100
183,14-Sep-00,107.2500
184,15-Sep-00,107.3300
185,18-Sep-00,106.8700
186,19-Sep-00,107.0200
187,20-Sep-00,106.7700
188,21-Sep-00,106.5000
189,22-Sep-00,107.9400
190,25-Sep-00,107.6300
191,26-Sep-00,107.6300
192,27-Sep-00,107.4400
193,28-Sep-00,107.5900
194,29-Sep-00,107.9000
195,2-Oct-00,108.8100
196,3-Oct-00,108.6600
197,4-Oct-00,109.2900
198,5-Oct-00,109.3000
199,6-Oct-00,108.8100
200,9-Oct-00,ND
201,10-Oct-00,107.9000
202,11-Oct-00,107.6300
203,12-Oct-00,107.5800
204,13-Oct-00,107.6700
205,16-Oct-00,108.3000
206,17-Oct-00,108.1500
207,18-Oct-00,107.7800
208,19-Oct-00,108.5500
209,20-Oct-00,109.0400
210,23-Oct-00,108.4500
211,24-Oct-00,108.0800
212,25-Oct-00,108.0500
213,26-Oct-00,108.3600
214,27-Oct-00,108.7500
215,30-Oct-00,108.9900
216,31-Oct-00,109.1500
217,1-Nov-00,108.4800
218,2-Nov-00,108.3900
219,3-Nov-00,107.5800
220,6-Nov-00,107.3400
221,7-Nov-00,107.3000
222,8-Nov-00,107.5700
223,9-Nov-00,107.4100
224,10-Nov-00,107.8300
225,13-Nov-00,107.7000
226,14-Nov-00,108.1500
227,15-Nov-00,108.7500
228,16-Nov-00,109.0800
229,17-Nov-00,108.8600
230,20-Nov-00,109.7900
231,21-Nov-00,110.2900
232,22-Nov-00,110.1600
233,23-Nov-00,ND
234,24-Nov-00,111.3800
235,27-Nov-00,110.7000
236,28-Nov-00,110.2300
237,29-Nov-00,111.2800
238,30-Nov-00,110.9300
239,1-Dec-00,111.1500
240,4-Dec-00,111.0700
241,5-Dec-00,111.0000
242,6-Dec-00,110.4200
243,7-Dec-00,110.7000
244,8-Dec-00,111.2900
245,11-Dec-00,110.7700
246,12-Dec-00,111.5000
247,13-Dec-00,112.4000
248,14-Dec-00,112.4200
