,Date,Rate
0,4-Jan-00,1.6370
1,5-Jan-00,1.6415
2,6-Jan-00,1.6475
3,7-Jan-00,1.6384
4,10-Jan-00,1.6374
5,11-Jan-00,1.6480
6,12-Jan-00,1.6465
7,13-Jan-00,1.6482
8,14-Jan-00,1.6353
9,17-Jan-00,ND
10,18-Jan-00,1.6380
11,19-Jan-00,1.6438
12,20-Jan-00,1.6538
13,21-Jan-00,1.6504
14,24-Jan-00,1.6520
15,25-Jan-00,1.6482
16,26-Jan-00,1.6395
17,27-Jan-00,1.6363
18,28-Jan-00,1.6210
19,31-Jan-00,1.6182
20,1-Feb-00,1.6150
21,2-Feb-00,1.6060
22,3-Feb-00,1.6025
23,4-Feb-00,1.5915
24,7-Feb-00,1.5917
25,8-Feb-00,1.6105
26,9-Feb-00,1.6115
27,10-Feb-00,1.6057
28,11-Feb-00,1.5923
29,14-Feb-00,1.5890
30,15-Feb-00,1.5950
31,16-Feb-00,1.6040
32,17-Feb-00,1.6050
33,18-Feb-00,1.5984
34,21-Feb-00,ND
35,22-Feb-00,1.6165
36,23-Feb-00,1.6047
37,24-Feb-00,1.5981
38,25-Feb-00,1.5908
39,28-Feb-00,1.5935
40,29-Feb-00,1.5780
41,1-Mar-00,1.5849
42,2-Mar-00,1.5765
43,3-Mar-00,1.5810
44,6-Mar-00,1.5732
45,7-Mar-00,1.5772
46,8-Mar-00,1.5855
47,9-Mar-00,1.5815
48,10-Mar-00,1.5793
49,13-Mar-00,1.5782
50,14-Mar-00,1.5725
51,15-Mar-00,1.5730
52,16-Mar-00,1.5747
53,17-Mar-00,1.5705
54,20-Mar-00,1.5686
55,21-Mar-00,1.5725
56,22-Mar-00,1.5705
57,23-Mar-00,1.5830
58,24-Mar-00,1.5910
59,27-Mar-00,1.5855
60,28-Mar-00,1.5872
61,29-Mar-00,1.5870
62,30-Mar-00,1.5922
63,31-Mar-00,1.5922
64,3-Apr-00,1.5980
65,4-Apr-00,1.5965
66,5-Apr-00,1.5900
67,6-Apr-00,1.5800
68,7-Apr-00,1.5830
69,10-Apr-00,1.5828
70,11-Apr-00,1.5873
71,12-Apr-00,1.5882
72,13-Apr-00,1.5881
73,14-Apr-00,1.5860
74,17-Apr-00,1.5853
75,18-Apr-00,1.5764
76,19-Apr-00,1.5777
77,20-Apr-00,1.5801
78,21-Apr-00,1.5785
79,24-Apr-00,1.5800
80,25-Apr-00,1.5787
81,26-Apr-00,1.5795
82,27-Apr-00,1.5748
83,28-Apr-00,1.5560
84,1-May-00,1.5558
85,2-May-00,1.5590
86,3-May-00,1.5605
87,4-May-00,1.5435
88,5-May-00,1.5288
89,8-May-00,1.5310
90,9-May-00,1.5315
91,10-May-00,1.5153
92,11-May-00,1.4997
93,12-May-00,1.5172
94,15-May-00,1.5075
95,16-May-00,1.5008
96,17-May-00,1.4905
97,18-May-00,1.4818
98,19-May-00,1.4855
99,22-May-00,1.4907
100,23-May-00,1.4728
101,24-May-00,1.4755
