Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.875000,0.875000,0.875000,0.000004,12000
1980-03-18,0.000000,0.879167,0.862500,0.879167,0.000004,162000
1980-03-19,0.879167,0.879167,0.879167,0.879167,0.000004,0
1980-03-20,0.000000,0.883333,0.879167,0.879167,0.000004,120000
1980-03-21,0.000000,0.870833,0.870833,0.870833,0.000004,60000
1980-03-24,0.870833,0.870833,0.870833,0.870833,0.000004,0
1980-03-25,0.870833,0.870833,0.870833,0.870833,0.000004,0
1980-03-26,0.000000,0.850000,0.837500,0.837500,0.000004,96000
1980-03-27,0.000000,0.816667,0.816667,0.816667,0.000004,18000
1980-03-28,0.000000,0.800000,0.800000,0.800000,0.000003,12000
1980-03-31,0.000000,0.820833,0.810417,0.820833,0.000004,114000
1980-04-01,0.000000,0.820833,0.812500,0.812500,0.000004,144000
1980-04-02,0.000000,0.816667,0.816667,0.816667,0.000004,6000
1980-04-03,0.000000,0.810417,0.808333,0.808333,0.000004,48000
1980-04-07,0.000000,0.829167,0.816667,0.816667,0.000004,366000
1980-04-08,0.000000,0.822917,0.822917,0.822917,0.000004,36000
1980-04-09,0.000000,0.841667,0.829167,0.841667,0.000004,30000
1980-04-10,0.000000,0.841667,0.841667,0.841667,0.000004,18000
1980-04-11,0.000000,0.862500,0.845833,0.862500,0.000004,36000
1980-04-14,0.000000,0.875000,0.875000,0.875000,0.000004,6000
1980-04-15,0.000000,0.891667,0.875000,0.891667,0.000004,96000
1980-04-16,0.000000,0.916667,0.916667,0.916667,0.000004,60000
1980-04-17,0.000000,0.933333,0.933333,0.933333,0.000004,6000
1980-04-18,0.000000,0.925000,0.925000,0.925000,0.000004,6000
1980-04-21,0.000000,0.929167,0.929167,0.929167,0.000004,30000
1980-04-22,0.000000,0.941667,0.933333,0.941667,0.000004,150000
1980-04-23,0.000000,0.950000,0.941667,0.950000,0.000004,924000
1980-04-24,0.000000,0.933333,0.933333,0.933333,0.000004,6000
1980-04-25,0.000000,0.925000,0.925000,0.925000,0.000004,6000
1980-04-28,0.000000,0.962500,0.950000,0.962500,0.000004,18000
1980-04-29,0.962500,0.962500,0.962500,0.962500,0.000004,0
1980-04-30,0.000000,0.975000,0.962500,0.975000,0.000004,126000
1980-05-01,0.000000,0.966667,0.962500,0.966667,0.000004,138000
1980-05-02,0.000000,0.954167,0.941667,0.941667,0.000004,66000
1980-05-05,0.000000,0.933333,0.933333,0.933333,0.000004,18000
1980-05-06,0.933333,0.933333,0.933333,0.933333,0.000004,0
1980-05-07,0.000000,0.941667,0.937500,0.941667,0.000004,78000
1980-05-08,0.000000,0.941667,0.931250,0.941667,0.000004,300000
1980-05-09,0.000000,0.945833,0.937500,0.937500,0.000004,72000
1980-05-12,0.000000,0.929167,0.929167,0.929167,0.000004,6000
1980-05-13,0.000000,0.945833,0.945833,0.945833,0.000004,18000
1980-05-14,0.945833,0.945833,0.945833,0.945833,0.000004,0
1980-05-15,0.000000,0.950000,0.950000,0.950000,0.000004,18000
1980-05-16,0.950000,0.950000,0.950000,0.950000,0.000004,0
1980-05-19,0.000000,0.952083,0.952083,0.952083,0.000004,42000
1980-05-20,0.952083,0.952083,0.952083,0.952083,0.000004,0
1980-05-21,0.000000,0.958333,0.958333,0.958333,0.000004,6000
1980-05-22,0.958333,0.958333,0.958333,0.958333,0.000004,0
1980-05-23,0.000000,0.908333,0.908333,0.908333,0.000004,12000
1980-05-27,0.908333,0.908333,0.908333,0.908333,0.000004,0
1980-05-28,0.908333,0.908333,0.908333,0.908333,0.000004,0
1980-05-29,0.000000,0.933333,0.933333,0.933333,0.000004,6000
1980-05-30,0.000000,0.933333,0.929167,0.933333,0.000004,156000
1980-06-02,0.933333,0.933333,0.933333,0.933333,0.000004,0
1980-06-03,0.000000,0.945833,0.945833,0.945833,0.000004,24000
1980-06-04,0.000000,0.945833,0.945833,0.945833,0.000004,258000
1980-06-05,0.000000,0.941667,0.941667,0.941667,0.000004,102000
1980-06-06,0.000000,0.943750,0.943750,0.943750,0.000004,30000
1980-06-09,0.943750,0.943750,0.943750,0.943750,0.000004,0
1980-06-10,0.000000,0.975000,0.975000,0.975000,0.000004,24000
1980-06-11,0.000000,0.979167,0.975000,0.979167,0.000004,84000
1980-06-12,0.000000,0.985417,0.983333,0.985417,0.000004,186000
1980-06-13,0.985417,0.985417,0.985417,0.985417,0.000004,0
1980-06-16,0.000000,1.008333,0.993750,1.008333,0.000004,36000
1980-06-17,0.000000,1.000000,1.000000,1.000000,0.000004,6000
1980-06-18,0.000000,1.008333,1.000000,1.008333,0.000004,210000
1980-06-19,0.000000,1.008333,1.008333,1.008333,0.000004,6000
1980-06-20,1.008333,1.008333,1.008333,1.008333,0.000004,0
1980-06-23,0.000000,1.008333,1.006250,1.008333,0.000004,156000
1980-06-24,0.000000,1.004167,1.004167,1.004167,0.000004,108000
1980-06-25,1.004167,1.004167,1.004167,1.004167,0.000004,0
